cell_type1	dataset
Mature Proximal tubule_pool120	Mature Proximal tubule	Mature
Mature Proximal tubule_pool121	Mature Proximal tubule	Mature
Mature Proximal tubule_pool122	Mature Proximal tubule	Mature
Mature Proximal tubule_pool123	Mature Proximal tubule	Mature
Mature Proximal tubule_pool124	Mature Proximal tubule	Mature
Mature Proximal tubule_pool125	Mature Proximal tubule	Mature
Mature Proximal tubule_pool126	Mature Proximal tubule	Mature
Mature Proximal tubule_pool127	Mature Proximal tubule	Mature
Mature Proximal tubule_pool128	Mature Proximal tubule	Mature
Mature Proximal tubule_pool129	Mature Proximal tubule	Mature
Mature Proximal tubule_pool130	Mature Proximal tubule	Mature
Mature Proximal tubule_pool131	Mature Proximal tubule	Mature
Mature Proximal tubule_pool132	Mature Proximal tubule	Mature
Mature Proximal tubule_pool133	Mature Proximal tubule	Mature
Mature Proximal tubule_pool134	Mature Proximal tubule	Mature
Mature Proximal tubule_pool135	Mature Proximal tubule	Mature
Mature Proximal tubule_pool136	Mature Proximal tubule	Mature
Mature Proximal tubule_pool137	Mature Proximal tubule	Mature
Mature Proximal tubule_pool138	Mature Proximal tubule	Mature
Mature Proximal tubule_pool139	Mature Proximal tubule	Mature
Mature Proximal tubule_pool140	Mature Proximal tubule	Mature
Mature Proximal tubule_pool141	Mature Proximal tubule	Mature
Mature Proximal tubule_pool142	Mature Proximal tubule	Mature
Mature Proximal tubule_pool143	Mature Proximal tubule	Mature
Mature Proximal tubule_pool144	Mature Proximal tubule	Mature
Mature Proximal tubule_pool145	Mature Proximal tubule	Mature
Mature Proximal tubule_pool146	Mature Proximal tubule	Mature
Mature Proximal tubule_pool147	Mature Proximal tubule	Mature
Mature Proximal tubule_pool148	Mature Proximal tubule	Mature
Mature Proximal tubule_pool149	Mature Proximal tubule	Mature
Mature Proximal tubule_pool150	Mature Proximal tubule	Mature
Mature Proximal tubule_pool151	Mature Proximal tubule	Mature
Mature Proximal tubule_pool152	Mature Proximal tubule	Mature
Mature Proximal tubule_pool153	Mature Proximal tubule	Mature
Mature Proximal tubule_pool154	Mature Proximal tubule	Mature
Mature Proximal tubule_pool155	Mature Proximal tubule	Mature
Mature Proximal tubule_pool156	Mature Proximal tubule	Mature
Mature Proximal tubule_pool157	Mature Proximal tubule	Mature
Mature Proximal tubule_pool158	Mature Proximal tubule	Mature
Mature Proximal tubule_pool159	Mature Proximal tubule	Mature
Mature Proximal tubule_pool160	Mature Proximal tubule	Mature
Mature Proximal tubule_pool161	Mature Proximal tubule	Mature
Mature Proximal tubule_pool162	Mature Proximal tubule	Mature
Mature Proximal tubule_pool163	Mature Proximal tubule	Mature
Mature Proximal tubule_pool164	Mature Proximal tubule	Mature
Mature Proximal tubule_pool165	Mature Proximal tubule	Mature
Mature Proximal tubule_pool166	Mature Proximal tubule	Mature
Mature Proximal tubule_pool167	Mature Proximal tubule	Mature
Mature Proximal tubule_pool168	Mature Proximal tubule	Mature
Mature Proximal tubule_pool169	Mature Proximal tubule	Mature
Mature Proximal tubule_pool170	Mature Proximal tubule	Mature
Mature Proximal tubule_pool171	Mature Proximal tubule	Mature
Mature Proximal tubule_pool172	Mature Proximal tubule	Mature
Mature Proximal tubule_pool173	Mature Proximal tubule	Mature
Mature Proximal tubule_pool174	Mature Proximal tubule	Mature
Mature Proximal tubule_pool175	Mature Proximal tubule	Mature
Mature Proximal tubule_pool176	Mature Proximal tubule	Mature
Mature Proximal tubule_pool177	Mature Proximal tubule	Mature
Mature Proximal tubule_pool178	Mature Proximal tubule	Mature
Mature Proximal tubule_pool179	Mature Proximal tubule	Mature
Mature Proximal tubule_pool180	Mature Proximal tubule	Mature
Mature Proximal tubule_pool181	Mature Proximal tubule	Mature
Mature Proximal tubule_pool182	Mature Proximal tubule	Mature
Mature Proximal tubule_pool183	Mature Proximal tubule	Mature
Mature Proximal tubule_pool184	Mature Proximal tubule	Mature
Mature Proximal tubule_pool185	Mature Proximal tubule	Mature
Mature Proximal tubule_pool186	Mature Proximal tubule	Mature
Mature Proximal tubule_pool187	Mature Proximal tubule	Mature
Mature Proximal tubule_pool188	Mature Proximal tubule	Mature
Mature Proximal tubule_pool189	Mature Proximal tubule	Mature
Mature Proximal tubule_pool190	Mature Proximal tubule	Mature
Mature Proximal tubule_pool191	Mature Proximal tubule	Mature
Mature Proximal tubule_pool192	Mature Proximal tubule	Mature
Mature Proximal tubule_pool193	Mature Proximal tubule	Mature
Mature Proximal tubule_pool194	Mature Proximal tubule	Mature
Mature Proximal tubule_pool195	Mature Proximal tubule	Mature
Mature Proximal tubule_pool196	Mature Proximal tubule	Mature
Mature Proximal tubule_pool197	Mature Proximal tubule	Mature
Mature Proximal tubule_pool198	Mature Proximal tubule	Mature
Mature Proximal tubule_pool199	Mature Proximal tubule	Mature
Mature Proximal tubule_pool200	Mature Proximal tubule	Mature
Mature Proximal tubule_pool201	Mature Proximal tubule	Mature
Mature Proximal tubule_pool202	Mature Proximal tubule	Mature
Mature Proximal tubule_pool203	Mature Proximal tubule	Mature
Mature Proximal tubule_pool204	Mature Proximal tubule	Mature
Mature Proximal tubule_pool205	Mature Proximal tubule	Mature
Mature Proximal tubule_pool206	Mature Proximal tubule	Mature
Mature Proximal tubule_pool207	Mature Proximal tubule	Mature
Mature Proximal tubule_pool208	Mature Proximal tubule	Mature
Mature Proximal tubule_pool209	Mature Proximal tubule	Mature
Mature Proximal tubule_pool210	Mature Proximal tubule	Mature
Mature Proximal tubule_pool211	Mature Proximal tubule	Mature
Mature Proximal tubule_pool212	Mature Proximal tubule	Mature
Mature Proximal tubule_pool213	Mature Proximal tubule	Mature
Mature Proximal tubule_pool214	Mature Proximal tubule	Mature
Mature Proximal tubule_pool215	Mature Proximal tubule	Mature
Mature Proximal tubule_pool216	Mature Proximal tubule	Mature
Mature Proximal tubule_pool217	Mature Proximal tubule	Mature
Mature Proximal tubule_pool218	Mature Proximal tubule	Mature
Mature Proximal tubule_pool219	Mature Proximal tubule	Mature
Mature Proximal tubule_pool220	Mature Proximal tubule	Mature
Mature Proximal tubule_pool221	Mature Proximal tubule	Mature
Mature Proximal tubule_pool222	Mature Proximal tubule	Mature
Mature Proximal tubule_pool223	Mature Proximal tubule	Mature
Mature Proximal tubule_pool224	Mature Proximal tubule	Mature
Mature Proximal tubule_pool225	Mature Proximal tubule	Mature
Mature Proximal tubule_pool226	Mature Proximal tubule	Mature
Mature Proximal tubule_pool227	Mature Proximal tubule	Mature
Mature Proximal tubule_pool228	Mature Proximal tubule	Mature
Mature Proximal tubule_pool229	Mature Proximal tubule	Mature
Mature Thick ascending limb of Loop of Henle_pool1	Mature Thick ascending limb of Loop of Henle	Mature
Mature Thick ascending limb of Loop of Henle_pool2	Mature Thick ascending limb of Loop of Henle	Mature
Mature Thick ascending limb of Loop of Henle_pool3	Mature Thick ascending limb of Loop of Henle	Mature
Mature Thick ascending limb of Loop of Henle_pool4	Mature Thick ascending limb of Loop of Henle	Mature
Mature Thick ascending limb of Loop of Henle_pool5	Mature Thick ascending limb of Loop of Henle	Mature
Mature Type A intercalated cell_pool1	Mature Type A intercalated cell	Mature
Mature Type A intercalated cell_pool2	Mature Type A intercalated cell	Mature
Mature Type B intercalated cell_pool1	Mature Type B intercalated cell	Mature
