cell_type1	dataset
Fetal Medial S shaped body_pool5	Fetal Medial S shaped body	Fetal
Fetal Medial S shaped body_pool6	Fetal Medial S shaped body	Fetal
Fetal Megakaryocyte_pool1	Fetal Megakaryocyte	Fetal
Fetal Monocyte_pool1	Fetal Monocyte	Fetal
Fetal Monocyte_pool2	Fetal Monocyte	Fetal
Fetal Monocyte_pool3	Fetal Monocyte	Fetal
Fetal Monocyte_pool4	Fetal Monocyte	Fetal
Fetal Monocyte_pool5	Fetal Monocyte	Fetal
Fetal Monocyte_pool6	Fetal Monocyte	Fetal
Fetal Myofibroblast 1_pool1	Fetal Myofibroblast 1	Fetal
Fetal Myofibroblast 1_pool2	Fetal Myofibroblast 1	Fetal
Fetal Myofibroblast 1_pool3	Fetal Myofibroblast 1	Fetal
Fetal Myofibroblast 1_pool4	Fetal Myofibroblast 1	Fetal
Fetal Myofibroblast 1_pool5	Fetal Myofibroblast 1	Fetal
Fetal Myofibroblast 1_pool6	Fetal Myofibroblast 1	Fetal
Fetal Myofibroblast 1_pool7	Fetal Myofibroblast 1	Fetal
Fetal Myofibroblast 1_pool8	Fetal Myofibroblast 1	Fetal
Fetal Myofibroblast 1_pool9	Fetal Myofibroblast 1	Fetal
Fetal Myofibroblast 1_pool10	Fetal Myofibroblast 1	Fetal
Fetal Myofibroblast 1_pool11	Fetal Myofibroblast 1	Fetal
Fetal Myofibroblast 1_pool12	Fetal Myofibroblast 1	Fetal
Fetal Myofibroblast 1_pool13	Fetal Myofibroblast 1	Fetal
Fetal Myofibroblast 1_pool14	Fetal Myofibroblast 1	Fetal
Fetal Myofibroblast 2_pool1	Fetal Myofibroblast 2	Fetal
Fetal Myofibroblast 2_pool2	Fetal Myofibroblast 2	Fetal
Fetal Myofibroblast 2_pool3	Fetal Myofibroblast 2	Fetal
Fetal Neutrophil_pool1	Fetal Neutrophil	Fetal
Fetal NK cell_pool1	Fetal NK cell	Fetal
Fetal NK cell_pool2	Fetal NK cell	Fetal
Fetal NK cell_pool3	Fetal NK cell	Fetal
Fetal NK cell_pool4	Fetal NK cell	Fetal
Fetal NK cell_pool5	Fetal NK cell	Fetal
Fetal Pelvic epithelium - distal UB_pool1	Fetal Pelvic epithelium - distal UB	Fetal
Fetal Podocyte_pool1	Fetal Podocyte	Fetal
Fetal Podocyte_pool2	Fetal Podocyte	Fetal
Fetal Proliferating B cell_pool1	Fetal Proliferating B cell	Fetal
Fetal Proliferating cap mesenchyme_pool1	Fetal Proliferating cap mesenchyme	Fetal
Fetal Proliferating cap mesenchyme_pool2	Fetal Proliferating cap mesenchyme	Fetal
Fetal Proliferating cap mesenchyme_pool3	Fetal Proliferating cap mesenchyme	Fetal
Fetal Proliferating cap mesenchyme_pool4	Fetal Proliferating cap mesenchyme	Fetal
Fetal Proliferating cap mesenchyme_pool5	Fetal Proliferating cap mesenchyme	Fetal
Fetal Proliferating cap mesenchyme_pool6	Fetal Proliferating cap mesenchyme	Fetal
Fetal Proliferating cap mesenchyme_pool7	Fetal Proliferating cap mesenchyme	Fetal
Fetal Proliferating cap mesenchyme_pool8	Fetal Proliferating cap mesenchyme	Fetal
Fetal Proliferating cap mesenchyme_pool9	Fetal Proliferating cap mesenchyme	Fetal
Fetal Proliferating cap mesenchyme_pool10	Fetal Proliferating cap mesenchyme	Fetal
Fetal Proliferating cap mesenchyme_pool11	Fetal Proliferating cap mesenchyme	Fetal
Fetal Proliferating cap mesenchyme_pool12	Fetal Proliferating cap mesenchyme	Fetal
Fetal Proliferating cap mesenchyme_pool13	Fetal Proliferating cap mesenchyme	Fetal
