cell_type1	dataset	is_endo	is_epit
tongue basal cell of epidermis_pool8	tongue basal cell of epidermis	tongue	no	no
tongue basal cell of epidermis_pool9	tongue basal cell of epidermis	tongue	no	no
tongue basal cell of epidermis_pool10	tongue basal cell of epidermis	tongue	no	no
tongue basal cell of epidermis_pool11	tongue basal cell of epidermis	tongue	no	no
tongue basal cell of epidermis_pool12	tongue basal cell of epidermis	tongue	no	no
tongue keratinocyte_pool1	tongue keratinocyte	tongue	no	no
tongue keratinocyte_pool2	tongue keratinocyte	tongue	no	no
tongue keratinocyte_pool3	tongue keratinocyte	tongue	no	no
tongue keratinocyte_pool4	tongue keratinocyte	tongue	no	no
trachea epithelial cell_pool1	trachea epithelial cell	trachea	no	yes
trachea leukocyte_pool1	trachea leukocyte	trachea	no	no
trachea stromal cell_pool1	trachea stromal cell	trachea	no	no
trachea stromal cell_pool2	trachea stromal cell	trachea	no	no
trachea stromal cell_pool3	trachea stromal cell	trachea	no	no
trachea stromal cell_pool4	trachea stromal cell	trachea	no	no
trachea stromal cell_pool5	trachea stromal cell	trachea	no	no
trachea stromal cell_pool6	trachea stromal cell	trachea	no	no
trachea stromal cell_pool7	trachea stromal cell	trachea	no	no
