cell_type1
E2Rasgrf2_pool1	E2Rasgrf2
E2Rasgrf2_pool2	E2Rasgrf2
E2Rasgrf2_pool3	E2Rasgrf2
E2Rasgrf2_pool4	E2Rasgrf2
E2Rasgrf2_pool5	E2Rasgrf2
E2Rasgrf2_pool6	E2Rasgrf2
E2Rasgrf2_pool7	E2Rasgrf2
E2Rasgrf2_pool8	E2Rasgrf2
E2Rasgrf2_pool9	E2Rasgrf2
E2Rasgrf2_pool10	E2Rasgrf2
E2Rasgrf2_pool11	E2Rasgrf2
E2Rasgrf2_pool12	E2Rasgrf2
E2Rasgrf2_pool13	E2Rasgrf2
E2Rasgrf2_pool14	E2Rasgrf2
E2Rasgrf2_pool15	E2Rasgrf2
E2Rasgrf2_pool16	E2Rasgrf2
E2Rasgrf2_pool17	E2Rasgrf2
E2Rasgrf2_pool18	E2Rasgrf2
E2Rasgrf2_pool19	E2Rasgrf2
E2Rasgrf2_pool20	E2Rasgrf2
E2Rasgrf2_pool21	E2Rasgrf2
E2Rasgrf2_pool22	E2Rasgrf2
E3Rmst_pool1	E3Rmst
E3Rmst_pool2	E3Rmst
E3Rorb_pool1	E3Rorb
E3Rorb_pool2	E3Rorb
E3Rorb_pool3	E3Rorb
E3Rorb_pool4	E3Rorb
E3Rorb_pool5	E3Rorb
E3Rorb_pool6	E3Rorb
E3Rorb_pool7	E3Rorb
E3Rorb_pool8	E3Rorb
E3Rorb_pool9	E3Rorb
E3Rorb_pool10	E3Rorb
E3Rorb_pool11	E3Rorb
E3Rorb_pool12	E3Rorb
E3Rorb_pool13	E3Rorb
E3Rorb_pool14	E3Rorb
E4Il1rapl2_pool1	E4Il1rapl2
E4Il1rapl2_pool2	E4Il1rapl2
E4Il1rapl2_pool3	E4Il1rapl2
E4Il1rapl2_pool4	E4Il1rapl2
E4Il1rapl2_pool5	E4Il1rapl2
E4Il1rapl2_pool6	E4Il1rapl2
E4Thsd7a_pool1	E4Thsd7a
E4Thsd7a_pool2	E4Thsd7a
E4Thsd7a_pool3	E4Thsd7a
E4Thsd7a_pool4	E4Thsd7a
E5Galnt14_pool1	E5Galnt14
E5Galnt14_pool2	E5Galnt14
E5Galnt14_pool3	E5Galnt14
E5Galnt14_pool4	E5Galnt14
E5Galnt14_pool5	E5Galnt14
E5Parm1_pool1	E5Parm1
E5Parm1_pool2	E5Parm1
E5Parm1_pool3	E5Parm1
E5Sulf1_pool1	E5Sulf1
E5Sulf1_pool2	E5Sulf1
E6Tle4_pool1	E6Tle4
E6Tle4_pool2	E6Tle4
E6Tle4_pool3	E6Tle4
E6Tle4_pool4	E6Tle4
E6Tle4_pool5	E6Tle4
E6Tle4_pool6	E6Tle4
E6Tle4_pool7	E6Tle4
E6Tle4_pool8	E6Tle4
E6Tle4_pool9	E6Tle4
E6Tle4_pool10	E6Tle4
E6Tle4_pool11	E6Tle4
InN_pool1	InN
InP_pool1	InP
InP_pool2	InP
InS_pool1	InS
InS_pool2	InS
InV_pool1	InV
